directorCd,directorNm,repRoleNm,filmos
10005151,김용화,감독,"[{'movieCd': '20192206', 'movieNm': '백두산', 'moviePartNm': '제작'}, {'movieCd': '20186202', 'movieNm': '신과함께-인과 연', 'moviePartNm': '감독'}, {'movieCd': '20186202', 'movieNm': '신과함께-인과 연', 'moviePartNm': '제작'}, {'movieCd': '20186202', 'movieNm': '신과함께-인과 연', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20150976', 'movieNm': '신과함께-죄와 벌', 'moviePartNm': '감독'}, {'movieCd': '20150976', 'movieNm': '신과함께-죄와 벌', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20150976', 'movieNm': '신과함께-죄와 벌', 'moviePartNm': '제작'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '감독'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '제작'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '기획'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '각색'}, {'movieCd': '20124082', 'movieNm': '미스터 고', 'moviePartNm': '편집'}, {'movieCd': '20110295', 'movieNm': '마이 웨이', 'moviePartNm': '제작'}, {'movieCd': '20090527', 'movieNm': '국가대표 완결판-못 다한 이야기', 'moviePartNm': '감독'}, {'movieCd': '20090307', 'movieNm': '국가대표', 'moviePartNm': '감독'}, {'movieCd': '20090307', 'movieNm': '국가대표', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20090307', 'movieNm': '국가대표', 'moviePartNm': '기획'}, {'movieCd': '20060387', 'movieNm': '미녀는 괴로워', 'moviePartNm': '감독'}, {'movieCd': '20060387', 'movieNm': '미녀는 괴로워', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20030133', 'movieNm': '오! 브라더스', 'moviePartNm': '감독'}, {'movieCd': '20030133', 'movieNm': '오! 브라더스', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20020283', 'movieNm': '자반고등어', 'moviePartNm': '감독'}, {'movieCd': '20020283', 'movieNm': '자반고등어', 'moviePartNm': '시나리오(각본)'}]"
20306533,최신규,감독,"[{'movieCd': '20193821', 'movieNm': '극장판 헬로카봇 : 달나라를 구해줘!', 'moviePartNm': '감독'}, {'movieCd': '20185478', 'movieNm': '극장판 헬로카봇: 옴파로스 섬의 비밀', 'moviePartNm': '감독'}, {'movieCd': '20183915', 'movieNm': '극장판 공룡메카드: 타이니소어의 섬', 'moviePartNm': '감독'}, {'movieCd': '20186501', 'movieNm': '극장판 헬로카봇 : 백악기 시대', 'moviePartNm': '감독'}, {'movieCd': '20186501', 'movieNm': '극장판 헬로카봇 : 백악기 시대', 'moviePartNm': '스토리'}, {'movieCd': '20140444', 'movieNm': '헬로 카봇', 'moviePartNm': '기획'}]"
10051071,올 파커,감독,"[{'movieCd': '20181942', 'movieNm': '맘마미아!2', 'moviePartNm': '감독'}, {'movieCd': '20181942', 'movieNm': '맘마미아!2', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20120362', 'movieNm': '나우이즈굿 ', 'moviePartNm': '감독'}, {'movieCd': '20126470', 'movieNm': '베스트 엑조틱 메리골드 호텔', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20068663', 'movieNm': '이매진 미 앤 유', 'moviePartNm': '감독'}]"
10018399,루벤 외스틀룬드,감독,"[{'movieCd': '20179044', 'movieNm': '더 스퀘어', 'moviePartNm': '감독'}, {'movieCd': '20156732', 'movieNm': '포스 마쥬어: 화이트 베케이션', 'moviePartNm': '감독'}, {'movieCd': '20088744', 'movieNm': '분별없는 행동', 'moviePartNm': '감독'}]"
10054495,윤종빈,감독,"[{'movieCd': '20179101', 'movieNm': '공작', 'moviePartNm': '감독'}, {'movieCd': '20179101', 'movieNm': '공작', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20162541', 'movieNm': '춘몽', 'moviePartNm': '배우'}, {'movieCd': '20145507', 'movieNm': '검사외전', 'moviePartNm': '제작'}, {'movieCd': '20131262', 'movieNm': '허삼관', 'moviePartNm': '각색'}, {'movieCd': '20123501', 'movieNm': '군도: 민란의 시대', 'moviePartNm': '감독'}, {'movieCd': '20123501', 'movieNm': '군도: 민란의 시대', 'moviePartNm': '제작'}, {'movieCd': '20123501', 'movieNm': '군도: 민란의 시대', 'moviePartNm': '스토리'}, {'movieCd': '20113557', 'movieNm': '범죄와의 전쟁: 나쁜놈들 전성시대', 'moviePartNm': '감독'}, {'movieCd': '20113557', 'movieNm': '범죄와의 전쟁: 나쁜놈들 전성시대', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20080394', 'movieNm': '비스티 보이즈', 'moviePartNm': '감독'}, {'movieCd': '20080394', 'movieNm': '비스티 보이즈', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20050303', 'movieNm': '용서받지 못한 자', 'moviePartNm': '감독'}, {'movieCd': '20050303', 'movieNm': '용서받지 못한 자', 'moviePartNm': '배우'}, {'movieCd': '20050303', 'movieNm': '용서받지 못한 자', 'moviePartNm': '미술/프로덕션 디자인'}, {'movieCd': '20050303', 'movieNm': '용서받지 못한 자', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20050303', 'movieNm': '용서받지 못한 자', 'moviePartNm': '제작'}]"
10001386,젠디 타타코브스키,감독,"[{'movieCd': '20184802', 'movieNm': '몬스터 호텔 3', 'moviePartNm': '감독'}, {'movieCd': '20154242', 'movieNm': '몬스터 호텔 2', 'moviePartNm': '감독'}, {'movieCd': '20129156', 'movieNm': '몬스터 호텔', 'moviePartNm': '감독'}]"
10021027,타치카와 유즈루,감독,"[{'movieCd': '20187427', 'movieNm': '명탐정 코난 : 제로의 집행인', 'moviePartNm': '감독'}]"
10065265,조규장,감독,"[{'movieCd': '20170670', 'movieNm': '목격자', 'moviePartNm': '감독'}, {'movieCd': '20170670', 'movieNm': '목격자', 'moviePartNm': '스토리'}, {'movieCd': '20068576', 'movieNm': '그날의 분위기', 'moviePartNm': '감독'}, {'movieCd': '20068576', 'movieNm': '그날의 분위기', 'moviePartNm': '각색'}, {'movieCd': '20081649', 'movieNm': '낙타는 말했다', 'moviePartNm': '감독'}, {'movieCd': '20081649', 'movieNm': '낙타는 말했다', 'moviePartNm': '시나리오(각본)'}, {'movieCd': '20080351', 'movieNm': '봉수', 'moviePartNm': '감독'}]"
10068421,존 터틀타웁,감독,"[{'movieCd': '20183584', 'movieNm': '메가로돈', 'moviePartNm': '감독'}, {'movieCd': '20147683', 'movieNm': '라스트베가스', 'moviePartNm': '감독'}, {'movieCd': '20100381', 'movieNm': '마법사의 제자', 'moviePartNm': '감독'}, {'movieCd': '20070549', 'movieNm': '내셔널 트레져:비밀의 책', 'moviePartNm': '감독'}, {'movieCd': '20040755', 'movieNm': '내셔널 트레져', 'moviePartNm': '감독'}, {'movieCd': '20010131', 'movieNm': '키드', 'moviePartNm': '감독'}, {'movieCd': '19990207', 'movieNm': '인스팅트 ', 'moviePartNm': '감독'}, {'movieCd': '19960273', 'movieNm': '페노메논 ', 'moviePartNm': '감독'}, {'movieCd': '19950185', 'movieNm': '당신이 잠든 사이에 ', 'moviePartNm': '감독'}]"
10055319,이마이 카즈아키,감독,"[{'movieCd': '20187641', 'movieNm': '극장판 도라에몽: 진구의 보물섬', 'moviePartNm': '감독'}]"
